Site_code,Bat_passes_number,Hour_activity,Wind_speed_average,Wind_speed_max,Temperature,Vegetation_type,Watercourses
FT12,7,9,0.8,1.9,17.4,Tree_plantation_arbustive,1
FT18,7,9,0.6,1,25.4,Native_forest,1
FT13,1,9,0.3,0.8,22.9,Native_forest,0
FT5,1,9,1.1,2,16.7,Tree_plantation,0
FT10,0,9,0.9,1.4,16.4,Tree_plantation,0
FT15,0,9,0.8,1.3,17,Tree_plantation_arbustive,0
FT2,0,9,0,0,23.1,Native_forest,1
FT15,6,10,0.3,0.4,16.9,Tree_plantation_arbustive,0
FT9,5,10,0.3,0.9,16.5,Native_forest,1
FT10,0,10,0.4,0.6,25.6,Tree_plantation,0
FT12,0,10,1.1,2,16.5,Tree_plantation_arbustive,1
FT12,0,10,0.6,0.8,22.4,Tree_plantation_arbustive,1
FT13,0,10,0.3,0.5,17.6,Native_forest,0
FT18,0,10,0.3,0.3,23.8,Native_forest,1
FT5,0,10,0,0,21.9,Tree_plantation,0
FT10,2,11,0.3,0.7,17.8,Tree_plantation,0
FT17,1,11,0.8,1.7,15.8,Tree_plantation,0
FT13,0,11,0.8,1.2,15.4,Native_forest,0
FT17,0,11,0.6,1.3,16.5,Tree_plantation,0
FT5,0,11,0.4,1,22,Tree_plantation,0
FT9,0,11,0.3,1.8,16,Native_forest,1
FT12,12,12,0.7,0.8,19.9,Tree_plantation_arbustive,1
FT18,5,12,0,0.3,17.4,Native_forest,1
FT15,2,12,0.3,0.5,16.3,Tree_plantation_arbustive,0
FT10,1,12,0.3,0.6,17.2,Tree_plantation,0
FT13,0,12,0.4,0.8,16.4,Native_forest,0
FT18,0,12,0.7,1,22,Native_forest,1
FT5,0,12,0,0,16.2,Tree_plantation,0
FT9,0,12,0.4,1,15,Native_forest,1
FT17,2,9,0.3,1,20.9,Tree_plantation,0
FT17,2,9,0.4,0.9,20,Tree_plantation,0
FT17,0,11,0.7,2.7,19.6,Tree_plantation,0
FT17,0,11,0.6,1.2,18.6,Tree_plantation,0
FT2,0,10,0.6,1.7,21,Native_forest,1
FT2,0,10,0.4,2.2,19.5,Native_forest,1
FT2,0,11,0.4,1.6,18.1,Native_forest,1
FT2,0,12,0.5,1.2,17.7,Native_forest,1
FT13,2,9,0.5,1.9,16,Native_forest,0
FT13,4,10,1,2.6,14,Native_forest,0
FT13,2,11,1,2.4,14.8,Native_forest,0
FT13,0,12,1,2.5,14,Native_forest,0
FT14,0,10,0.5,1.9,15.8,Tree_plantation_arbustive,0
FT14,1,10,0.7,2.3,15.2,Tree_plantation_arbustive,0
FT14,0,11,0.5,1,14.1,Tree_plantation_arbustive,0
FT14,1,11,0.8,1.8,13.7,Tree_plantation_arbustive,0
FT18,5,9,0.3,1,20.3,Native_forest,1
FT18,3,9,0.3,0.5,18.2,Native_forest,1
FT18,6,11,0,0.5,19.2,Native_forest,1
FT18,3,12,0.5,0.9,16.5,Native_forest,1
FT9,1,10,0.4,0.9,19.7,Native_forest,1
FT9,2,10,0.9,3.1,18.3,Native_forest,1
FT9,1,11,0.7,2,17.1,Native_forest,1
FT9,1,12,0.8,2.3,16.5,Native_forest,1
FT10,0,9,0.3,0.7,20.8,Tree_plantation,0
FT10,0,10,0,0,19,Tree_plantation,0
FT10,0,11,0.3,0.6,21.1,Tree_plantation,0
FT10,1,12,0.3,0.5,16,Tree_plantation,0
